Area Size, Number of Nodes, Number of flows, Sent Packets, Dropped Packets, Received Packets, Network throughput, End-to-end Delay, Packet delivery ratio, Packet drop ratio
500 , 40 , 10 , 127 , 64 , 63 , 180.513 , 0.00501863 , 0.496063 , 0.503937
500 , 40 , 20 , 289 , 116 , 159 , 503.406 , 0.171361 , 0.550173 , 0.401384
500 , 40 , 30 , 478 , 205 , 276 , 871.051 , 0.402456 , 0.577406 , 0.42887
500 , 40 , 40 , 572 , 259 , 315 , 973.098 , 0.191277 , 0.550699 , 0.452797
500 , 40 , 50 , 619 , 290 , 336 , 1174.37 , 0.197058 , 0.542811 , 0.468498
