Area Size, Number of Nodes, Number of flows, Sent Packets, Dropped Packets, Received Packets, Network throughput, End-to-end Delay, Packet delivery ratio, Packet drop ratio
500 , 20 , 20 , 558 , 148 , 413 , 1222.49 , 0.172645 , 0.740143 , 0.265233
500 , 40 , 20 , 289 , 116 , 159 , 503.406 , 0.171361 , 0.550173 , 0.401384
500 , 60 , 20 , 275 , 124 , 151 , 511.434 , 0.0269083 , 0.549091 , 0.450909
500 , 80 , 20 , 200 , 82 , 78 , 244.528 , 0.220811 , 0.39 , 0.41
500 , 100 , 20 , 235 , 74 , 111 , 318.567 , 0.0251803 , 0.47234 , 0.314894
